기간,총판매금액,정부 가용 예산
2025 하반기,3190048445014.29,1339820346906.0017
2026 상반기,3293623704079.822,1383321955713.5251
2026 하반기,3284753812000.9146,1379596601040.384
2027 상반기,3375162464012.8325,1417568234885.3896
2027 하반기,3366419125442.0425,1413896032685.6577
