기간,총판매금액,정부 가용 예산
2025 하반기,3186714978808.8154,1338420291099.7024
2026 상반기,3276974213739.9756,1376329169770.7898
2026 하반기,3266092613652.4907,1371758897734.0461
2027 상반기,3335614592678.8335,1400958128925.11
2027 하반기,3327232907956.0444,1397437821341.5386
