기간,총판매금액,정부 가용 예산
2025 하반기,3040035406707.8525,1276814870817.298
2026 상반기,3198760401312.3,1343479368551.1658
2026 하반기,3163371880969.5376,1328616190007.2058
2027 상반기,3314098218094.9185,1391921251599.8657
2027 하반기,3265232694177.514,1371397731554.556
